2017-02-17 13:56:40,125 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.servicemix.bundles.spring-oxm
2017-02-17 13:56:40,120 | INFO  | ool-110-thread-1 | JettyServerImpl                  | 209 - org.ops4j.pax.web.pax-web-jetty - 4.2.6 | Pax Web available at [0.0.0.0]:[8181]
2017-02-17 13:56:40,141 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.servicemix.bundles.spring-web
2017-02-17 13:56:40,141 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.servicemix.bundles.spring-web
2017-02-17 13:56:40,161 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.servicemix.bundles.spring-webmvc
2017-02-17 13:56:40,162 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.servicemix.bundles.spring-webmvc
2017-02-17 13:56:40,167 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.commons.lang
2017-02-17 13:56:40,168 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.commons.lang
2017-02-17 13:56:40,198 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: io.dropwizard.metrics.core
2017-02-17 13:56:40,198 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: io.dropwizard.metrics.core
2017-02-17 13:56:40,205 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: net.sf.ehcache
2017-02-17 13:56:40,205 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: net.sf.ehcache
2017-02-17 13:56:40,292 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/core
2017-02-17 13:56:40,294 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/configuration/beans
2017-02-17 13:56:40,296 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/configuration/parameterized-types
2017-02-17 13:56:40,297 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/configuration/security
2017-02-17 13:56:40,298 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://schemas.xmlsoap.org/wsdl/
2017-02-17 13:56:40,299 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://www.w3.org/2005/08/addressing
2017-02-17 13:56:40,300 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://schemas.xmlsoap.org/ws/2004/08/addressing
2017-02-17 13:56:40,301 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-core
2017-02-17 13:56:40,301 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-core
2017-02-17 13:56:40,308 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/binding/coloc
2017-02-17 13:56:40,308 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-coloc
2017-02-17 13:56:40,308 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-bindings-coloc
2017-02-17 13:56:40,315 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-wsdl (91) [org.apache.cxf.wsdl.WSDLManager]
2017-02-17 13:56:40,317 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-corba (58) [org.apache.cxf.binding.corba.CorbaBindingFactory, org.apache.cxf.binding.corba.wsdl.WSDLExtensionRegister]
2017-02-17 13:56:40,318 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-corba
2017-02-17 13:56:40,318 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-bindings-corba
2017-02-17 13:56:40,322 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-transports-local (84) [org.apache.cxf.transport.local.LocalTransportFactory]
2017-02-17 13:56:40,322 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-object (59) [org.apache.cxf.binding.object.ObjectBindingFactory]
2017-02-17 13:56:40,325 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/binding/object
2017-02-17 13:56:40,327 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-object
2017-02-17 13:56:40,327 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | No 'SPI-Provider' Manifest header. Skipping bundle: org.apache.cxf.cxf-rt-bindings-object
2017-02-17 13:56:40,332 | INFO  | FelixStartLevel  | CXFActivator                     | 56 - org.apache.cxf.cxf-core - 3.1.5 | Adding the extensions from bundle org.apache.cxf.cxf-rt-bindings-soap (60) [org.apache.cxf.binding.soap.SoapBindingFactory, org.apache.cxf.binding.soap.SoapTransportFactory]
2017-02-17 13:56:40,335 | INFO  | FelixStartLevel  | NamespaceHandlerRegisterer       | 56 - org.apache.cxf.cxf-core - 3.1.5 | Registered blueprint namespace handler for http://cxf.apache.org/blueprint/bindings/soap
2017-02-17 13:56:40,336 | INFO  | FelixStartLevel  | bundle                           | 37 - org.apache.aries.spifly.dynamic.bundle - 1.0.1 | Bundle Considered for SPI providers: org.apache.cxf.cxf-rt-bindings-soap
